VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
sNpV8MQ4aY8,379264,20081,2376,212,3,1
dn8jGf3ZYag,638,23,4,1,1,0
6wDrmt9SfIU,85103,455,105,21,1281,0
J9n-cdYTPJE,394001,772,24,124,178,0
Bbyftsl7Owo,14556375,767825,43014,22470,6,1
6pC2aLRvQaI,216096,595,18,105,71,0
wQyfB71E2Wo,302219,15175,948,126,4,1
2AeEd195SG8,2548863,107347,11280,1857,6,1
qAgbWGQmzJM,6411850,15253,647,733,3248,0
LSx072ONDuA,31122,0,0,0,393,0
688oNPYdHxY,1391792,12693,2329,1363,171,0
4QE6iIt2oIs,2632738,100389,7271,2370,4,1
8SfGuk4cdgI,127053,1025,249,35,6,0
6Lgqpz5quIk,3206,39,8,2,255,0
cimnKDoCViY,161650,2169,1261,89,1,1
SKtEH_7lGJg,1406929,62038,6107,1040,9,0
dGaDUHZK-vU,819580,35069,2439,455,3,1
AAWINabAWPY,84579,582,19,10,56,0
McLgpck2i7A,450712,23915,1833,554,4,1
Ut4atfudXr8,1725728,44839,1381,1324,4,1
fFWCNhm72LI,1705717,4837,192,459,107,0
JCE6j2EtRw8,71383,751,9,116,39,0
tXSnd7zJlpU,1212521,24423,6888,852,3,1
zLRPScn1Q7g,439414,4123,1647,1234,0,1
E76vqlhmBlc,457452,29835,2833,872,1,1
2x_G8MGd7rw,31994713,67401,2720,5335,2353,0
D-0R1i6l1Rs,1264329,57119,6276,3069,4,1
oO1m48uksNc,7507304,21488,1051,681,3389,0
cXUs7QDR2Jo,726880,26831,7772,637,4,1
ct9MxZHakBQ,1356802,183476,10988,496,3,1
Ty-CHgmCeKw,11579014,275718,23673,7886,10,1
1sLpmqiSWtU,203070,12198,0,469,4,1
WQn6HMXH8Xo,3122,211,88,10,2,0
2gSuHQ_29dQ,370124,5110,765,119,2,1
nSRxdPBx77o,986549,3017,243,337,521,0
zoT_G5stZWY,518696,6197,1219,219,0,1
1AwdUHFpIHk,163135,6,2,3,211,0
TMgS3J8w2Qc,744046,35646,2120,939,4,1
Qr6Eh6IdEZY,741714,38838,3226,1409,0,1
-MyvZMiRGvE,11030947,906587,86857,9375,3,1
gODoDayy34k,127097,3,0,0,55,0
r36aE7YBbPQ,501183,5926,170,144,64,0
WD8grfTjr7g,674905,14112,2517,207,3,1
WQ8Xgp8ALFo,1554426,82866,5746,894,4,1
2GS3sy8wY5k,1330,27,5,0,1,0
VBZA_15mGGU,2447904,429984,40690,1784,4,1
zav8i32PCio,4774638,231916,20117,1857,3,1
e_QSPszKJZI,759823,6126,1651,702,128,0
UZ6PFWzCPnQ,6991,109,13,1,3,0
uhZE84C5g0M,1197642,28421,5673,1189,3,1
1xJAXg9ytCo,239344,3286,553,89,6,1
dO4dncwDn6U,240088,15393,0,152,1,0
vJYL4Osyipc,15203979,277578,31101,29868,8,1
eMmvxpz3kzM,446220,2646,344,335,43,0
6jKjB0XT-oE,2045985,342666,15944,1880,4,1
LvPbaLx7aZo,9092454,15564,754,1500,304,0
j3zapgI1dx8,523957,77944,6113,1317,4,1
AzAcL89FYJI,14727866,59488,2419,5314,97,0
8X_LPBvzRQE,345813,9977,1703,412,5,1
Us2t0Zyudxc,957059,71274,4214,1759,2,1
0DJQTKWx3Dk,660009,41647,7318,315,6,1
UiKr3cBH3uU,669443,11762,2528,282,9,0
wW-KBzKWvrU,2497473,0,0,0,1,1
Izz-mWi1Q6c,1859839,76542,5189,1002,4,1
TE_PeOuZCjE,210,6,0,0,3,0
Am1lDj2mUVY,3416497,203331,16192,2558,2,1
3JO8n5EiznI,1370487,0,0,0,102,0
fLPSmYjH27s,351887,19985,1339,502,3,1
ozZBtl4s-yA,6226917,27638,1965,1155,595,0
4kDgvpa5k4g,349296,31089,3162,134,4,1
zav8i32PCio,6399401,290549,24050,2385,6,1
e85Q5-Y0auE,2914739,181929,10933,2873,4,1
EhYDjXWRdyY,663682,8741,6324,2731,6,1
AJHYfnrCPVY,2874223,39923,3462,341,8,0
Aur7UgTGlL0,1184100,11430,3438,447,3,1
tw6yScJQdwg,2786411,6136,4856,8923,4,1
1FYMWpf8IQc,1454799,38282,3408,742,10,0
oYpUZjxJOVg,6234694,1241165,49158,2072,3,1
zW0hhBCD6bI,189478,34749,1212,76,0,1
Souq7Dzgz48,405934,0,0,0,9,0
tDhTgZEPhvg,1529710,12634,12241,6318,4,1
lw68FF0GEX8,4500626,228959,9631,2465,3,1
6yE30yLfqpg,4982,129,7,4,4,0
XH6UXxmVlqo,351047,2989,0,164,91,0
zt7j4YZVKRs,10799951,42515,1782,2118,2108,0
