VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
DdIczcY9ZDA,285923,1653,699,833,826,0
tQAkTjf4_Xs,85896,214,0,59,1033,0
BJnSdRfqIPs,569040,113,0,0,3438,0
qBntTrLrVjQ,722,23,3,1,0,0
hxTT5D_BYJQ,2119,41,9,3,1,0
iSUMYdzw_2c,2391,108,23,15,0,0
SRnWikaDIMI,68677,1251,82,345,761,0
AnzAA8h7Kcw,4548,58,7,7,0,0
bdKReGqZXI8,399,11,1,0,0,0
_6rEc3JkG6g,67577,17,0,0,1140,0
Y0BUSa7tI_s,6898,125,4,31,1,0
yvMVvRswEIY,73359,314,0,94,1039,0
Sv3xij31uds,77211,0,0,0,542,0
eMn87391uB8,547,11,0,0,0,0
50s8m9pxwXQ,63430,4,0,0,495,0
anjaXb7oT5c,67707,384,0,123,1129,0
VoxUD5KJt_0,6710,0,17,0,0,0
-Qoii4TuA74,492,9,0,0,0,0
x4uPNUA-ur0,245,13,2,0,0,0
Tw5U9FB2E7g,788,8,1,0,0,0
5KhEEOLTGyc,75880,25,0,1,1056,0
1ydLY9wtQHw,847,35,0,2,0,0
Q7rorYZj5ZQ,2142,6,0,1,0,0
vmijtoY4CI8,429739,2,0,0,3,0
ikFv4J2UcX4,682,3,3,0,0,0
7qoZPvuHcn8,217,34,15,0,0,0
gPM9dP-SU8Y,124019,9,0,0,183,0
ZetQAOEehk4,373484,0,0,0,354,0
klQXlBsG70g,95681,401,30,108,1476,0
OoPEjidLl8c,61652,303,57,52,639,0
4VATzMIB8DQ,67543,456,100,81,752,0
PnYNPFKKOZI,97596,178,0,52,1025,0
c-ZsXg5qlME,93791,489,163,106,745,0
2diRwe5l55Y,108478,3247,528,74,0,0
xrdO-A6mgBE,146958,919,44,78,137,0
M4ull9OPJZw,61085,119,1,0,848,0
WHHIvy-O0fo,80731,525,0,177,744,0
yPcDdUFdHj0,64826,3850,578,92,971,0
03mLIzOLZFs,65177,196,85,7,1926,0
B-_S7Gh3gt0,124780,1866,162,176,288,0
itgXYduSf4c,62594,401,65,6,861,0
Em7s9iosXFE,66792,805,717,476,825,0
jaueVgoalmA,97409,388,131,1,1842,0
P9qgRSt1Suc,61493,157,6,4,2247,0
T7EAfWKgQ98,1376,54,11,0,0,0
UuKIq9EkF-I,67177,235,0,81,826,0
d9q1Tlzrr0w,342050,0,0,0,2958,0
P4HGc7tBZaA,217120,505,273,323,777,0
Yibgsf1l8tc,298638,976,139,352,749,0
gYQ2HoD5lN8,95227,1279,18,245,362,0
Gq2hXPM5swM,89014,1213,0,82,569,0
GI7fteKDtW0,339,22,0,0,0,0
DfpL8PDIwiA,65892,138,0,20,743,0
J0zUGXTGavw,59728,356,46,6,752,0
p8Tl5VSrym8,2449,190,10,4,1,0
3dEMYl_r_WY,5112,154,8,6,0,0
HQYyc6O6PLo,4361,133,16,1,1,0
t6DzJWsADSU,70482,448,11,115,212,0
NVRHjFrszFE,983,146,18,4,0,0
HxDisx4Qpxo,129719,22,2,1,1085,0
zwD8a6s5LhI,3370,114,11,2,0,0
Ohed_cnPY8E,4791802,1226,73,98,408,0
MqF0PoQEKkk,3577,112,14,2,1,0
4wY1-S3BZN4,1656,21,8,2,0,0
5jjifvZZ22o,990,12,0,1,0,0
H9BA4bYAdXY,253,33,1,0,0,0
ErfOulKgENk,930,81,0,2,1,0
9fExcOahYTc,1082,15,3,0,0,0
U6j4JvvQMlw,568,34,1,0,0,0
ci-uoMKxtTM,2370,20,1,5,0,0
BA7X_Rxw0aY,773,11,1,0,0,0
GvEoXOv55m8,86189,1043,40,33,1071,0
Rr3dsc0f0Mg,2242,0,0,0,1,0
ID8F1RDuDg8,3572,45,8,5,0,0
1a5BZ8BQrvM,218937,1,0,0,92,0
0tcw9rzXQ3Y,1476,28,5,3,0,0
SC-4pgVA7xU,1112,4,6,0,0,0
JjZzvxqL8zo,789,12,1,1,0,0
NUIytk8ATGo,148108,1146,0,261,529,0
6unjwkkgyJ8,1200,15,0,2,0,0
-vgVgJzxORk,714,4,1,0,0,0
nU1ZYLQTB28,1028,0,0,0,0,0
KIVY1hLyMc8,3892,39,7,9,1,0
fAFzTWXExec,73253,431,4,97,320,0
ZgSF5uee_Rg,67941,239,11,27,1543,0
cgVWKFCIC_w,51864,349,42,27,840,0
CezRU8B5Vtk,81922,937,0,253,833,0
BrWM8Wsuf7I,158793,2,1,0,397,0
HmykSv8KqII,535088,2,0,1,108,0
bvSwFSJai1A,1107,7,0,0,1,0
KCQqJfA6dUw,99624,1217,0,280,1148,0
vp0dDL0DzY8,133769,7540,360,187,1072,0
0sSvTlsck00,54858,891,42,21,1001,0
hYq1whL4huM,76278,2667,357,184,1388,0
i52IMyez4UI,629718,1527,0,601,1072,0
kINYXv1GrPY,107977,184,7,10,4745,0
qR-u7EZsP7Q,119043,1589,328,162,823,0
rBhXBpQ4Eio,217908,420,0,124,985,0
OdoMqm9JbBM,75115,1025,0,214,391,0
VCFoq2Zx14w,239552,6472,0,482,827,0
Bb8mvfgPEZI,111967,803,0,392,504,0
nWrtOS2K_6g,118650,0,422,0,214,0
7P_vkrphFzo,78067,180,0,23,926,0
VauFrRQK-64,1535236,26480,334,504,9,0
QSsgjP_9_Sw,708859,15555,476,253,9,0
PfcqB70e5po,2557059,53442,1907,1954,9,0
yJL8sZlqsE4,2213297,50733,1423,976,9,0
002JkScZl50,571504,9002,237,202,9,0
2EEABJp8g6g,6884311,419864,19286,3673,9,0
DMax2FpDKVc,1960374,203670,4085,729,9,0
c0ruNt0WYE8,90535,1397,689,68,4,0
hO8_pu5cC0M,3336291,301496,14187,1490,9,0
nbYs-WfisWc,56929,1452,252,15,4,0
jwUjUadP7vc,632586,2486,163,42,6,0
ypIoa92tY9M,1053025,11177,164,791,9,0
E4LXSTLlvPY,114179,762,47,45,5,0
tE_CGSceRAs,101113,1360,70,58,6,0
hnjTL3X8xJg,107897,679,59,22,6,0
hvNN5G5XNVs,55679,1151,40,93,5,0
G4FgKZLcSAo,6709,109,7,4,3,0
OKEOouxaETo,544909,7285,521,95,8,0
-7HFOb90HZ8,923780,16683,2440,192,8,0
hzIF17XcqxE,466635,10504,0,239,620,0
fgA64r4l9PE,31760,666,6,13,4,0
6hqGJjyzlPY,55256,512,28,15,5,0
UhW6H6PLXsM,88061,8283,847,115,4,0
LqvKpkAGnyo,121786,15312,852,207,5,0
PmxlqsQvqwQ,86581,1521,0,109,817,0
T1CTQ1C7QMc,631579,7713,411,497,9,0
ZOwKs5V0Pas,213756,1278,0,102,464,0
k7jaBgF3u7M,3157765,37792,6813,2170,8,0
LD5Aavycq2Y,163873,4362,146,61,5,0
72NGe6v1r08,1249377,8058,0,2180,9,0
_fh55pyFEyI,123736,1340,0,169,811,0
kDsXTtbVPOU,115637,2294,0,212,892,0
SGE8PiacWkY,2918813,41126,529,955,9,0
79stus6oD5M,7947,202,4,10,3,0
3_yajZt3FaM,39151,461,49,16,648,0
iKZ_k6Kv1_8,28190,85,30,19,4,0
Oq5es8gzVdk,172943,1504,0,213,872,0
1ZbEhV5SwB8,53476,1200,268,125,4,0
d8SgFpJjUZE,70171,1103,61,35,1053,0
q0xV9vLJPsY,23449,116,14,23,4,0
8dSKnXwIWsE,227597,4691,181,165,7,0
fctpqStOEkY,53020,1145,51,36,5,0
NeTn9hdCDtE,2991819,50357,433,1066,9,0
QYXeY9NuSj8,886036,10799,608,348,7,0
VcHV9nw6XBQ,109876,965,0,72,349,0
Ptm6ssYN_cQ,153993,1442,0,463,497,0
OD5PNePhb_A,1222570,17842,871,709,6,0
qTkjXU6jdyM,13842,651,41,39,3,0
ED_eg2SvfzU,69913,134,20,20,2514,0
t9SxZB5FcXE,171197,2306,0,216,420,0
a4rOiTlpC1k,57723,508,17,3,622,0
FUceT0pofxw,162824,3565,0,815,543,0
RI4wFh7ZpOc,67198,242,0,35,926,0
9svYyFE8J_s,103861,194,5,49,5,0
5HVUeDLVJwQ,74119,934,0,141,1096,0
debsbGWGNcc,11961,139,20,12,3,0
bdBe-1baGxA,17527,876,42,15,2,0
X75AJEKxW-w,135399,3303,511,294,828,0
l5uCUyzIKgU,5154,44,9,4,2,0
FPNhS6Q_mTU,726,38,0,1,2,0
Opavn1UVu2Y,315645,1194,730,301,466,0
iMvB2eeBWiU,420491,2199,0,713,622,0
Np8pKe-7fHc,455299,11,7,0,267,0
44FwY3ksHIY,75200,1615,68,82,5,0
3F1N4ZmqBfQ,75098,934,0,245,478,0
Htna0Y5VzqI,110108,1680,0,147,704,0
lFUoV2VYr3g,70223,1290,0,128,696,0
x-qbopa_CCE,309900,30,3,1,6,0
ScguO6csHJ8,19192,0,3,0,3,0
DYvWhEYLYDg,2791,47,11,1,3,0
o3Z5AksOxQI,273120,971,0,1381,644,0
HzSNnja90fU,76470,961,0,116,843,0
LoZp15bZqY0,6609,227,13,5,3,0
2pyEKkq_JPk,2720,16,1,1,3,0
WicyHwFGui0,2556,60,6,1,2,0
oSl-EJckPgo,265061,19,1,1,496,0
w2Nr2dM6wgE,11281,0,20,0,3,0
4C0r84FaClY,54979,0,0,0,3690,0
tdMcOF09ZSk,78055,1031,12,178,430,0
mMv1Flr1km4,4713,20,2,2,3,0
YjNbi2MrHUU,982,35,5,6,2,0
6JcemVf545U,2481,12,3,1,3,0
6JGR2MKckNE,3350,103,4,4,2,0
iqJKPUlMCwc,491,8,0,0,2,0
IKpFaPY7-TQ,230250,716,0,142,533,0
87mM-Jy3HMY,7527,0,24,0,1,0
C5-kwFXDiak,1463,15,2,1,2,0
qxT_E6tbNe0,3307,0,5,0,3,0
24wY236Kl-4,401,19,1,0,2,0
ObLVKowA5ck,1435,6,0,0,2,0
UFeTBL82Z6Q,65660,0,0,0,4,0
VvfFM3WFxAE,3345,28,0,5,2,0
59K3xkaJYU4,10963,76,25,11,3,0
JqaJuMYeysw,943,10,6,1,2,0
MAAGGQIGqhI,2022,117,30,11,3,0
mby588Sfedg,1243,5,1,1,2,0
IXFpjMvsmXM,1702,39,1,2,1,0
YEiIFUNHtg0,10749,79,10,15,2,0
GqLyNbTvf9s,159795,1023,8,166,311,0
RwdYYGHhyw4,1333,31,2,5,2,0
NguwPOtFm2g,786,31,4,1,2,0
fX2t06ltcE8,981,14,0,0,2,0
uUQ4A88lyao,863,7,4,1,2,0
mZVDW4PUCU0,2249,10,5,2,2,0
qO5BBUs879A,549,35,3,0,2,0
dqHyijLEvug,1616,13,0,1,2,0
Hh_ASR-QfME,144045,422,0,141,646,0
Mz4ObISFpWo,70631,468,0,53,1098,0
G-lebCzthuM,104565,10,2,2,106,0
yWvT40vTA_A,75750,0,0,0,1427,0
vJ-TrHMW710,93628,178,0,59,471,0
LID3SEPO9Hs,93341,2,0,0,326,0
hWGM1EqzP4Q,111499,0,0,0,95,0
1AwdUHFpIHk,163135,6,2,3,211,0
prxKExdOOZw,96659,1023,0,316,696,0
Ehbfths7qfc,188475,1194,31,294,360,0
d3nGX5cvPs4,74064,906,0,1094,507,0
